,city,job_id,need_for_position,post_date,preferred_skill,salary_lower,salary_upper,state
10,Cambridge,EE-1175143,"- BS or MS in Computer Science, Statistics, Math, etc. 
- Professional experience performing statistical or predictive modeling with very large data sets 
- Competency with computational tools i.e. Python, Pandas, R, SAS, SQL, etc. 
- Experience with Big Data technologies such as Hive is a PLUS 
- Travel Industry experience is a PLUS 
- Unix/Linux experience",02/28/2017,"SQL, Hive, Python/R/SAS, pandas, Data Mining, UNIX/Linux environments",95000,120000,MA
11,Rockville,GM2-1355052,"Must Have Skills - BS/MS in Computer Science, Engineering or related field - Cloud, Big data tools and frameworks - Programming languages/platforms - Relational database experience - Configuration Management and Test Tools",03/03/2017,"Big Data, Cloud, openStack, Hadoop, Solr, HBase, SPARK, Docker, Ansible, Spring",75000,120000,MD
12,Sherman Oaks,BC2-1278839,"- 5+ years extensive programming experience in object-oriented programming -Familiar with at least one scripting language - Experience with source control and continuous integration & deployment development - Strong problem-solving and analytical skills - B.S./M.S. in Computer Science, Engineering, Information Systems, Math, Physics, or equivalent experience Pluses - Node - Koa/Express - React - Go - Python - Elasticsearch, Cassandra, Redis, MongoDB - Linux, AWS, Nginx, NSQ, docker, ansible",03/04/2017,"Python, Machine Learning, Hadoop, AWS, Data Mining",100000,175000,CA
13,Washington,RS2-1334902,"- PhD or Master’s degree in Computer Science, Statistics, or Mathematics - complex analytical problem solving - BI experience - Tableau, Cognos, or MicroStrategy - some development familiarity - Python or Java - large dataset experience - experience with statistical and mathematical software",03/04/2017,"R, Python, SQL, Hadoop, Algorithms, Machine Learning, Data Mining",NA,NA,DC
14,West Hollywood,AG6-1326863,"Minimum qualifications: PhD degree in a quantitative discipline (e.g., statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering) Relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist / computational biologist / bioinformatician). Experience with statistical software (e.g., R, Julia, MATLAB, pandas) and database languages (e.g., SQL). Preferred qualifications: Analytical engagements outside class work while at school can be included. Applied experience with machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations. Demonstrated skills in selecting the right statistical tools given a data analysis problem.  Demonstrated effective written and verbal communication skills. Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques.",03/04/2017,"Machine Learning, Python, Data Mining, R, PhD preferred",100000,250000,CA
15,New York City,MO1-1330559,At Least 3 Years of experience and knowledge of: - Machine Learning -Data-Mining - Python - Data Mining - Hadoop - Scala - SPARK - SQL,03/04/2017,"Machine Learning, Data Mining, Python, Hadoop, Scala, SPARK, SQL",100000,150000,NY
16,Chicago,RK2-1334170,Must haves: Machine Learning Algorithms Python INDUSTRY experience of data science  Preferred skills/experience: Ideally Masters or PhD in quantitative field Prior teaching experience,03/04/2017,"Data Science, Python, scikit.learn, Virtual Environments, Bayesian Inference, Machine Learning algorithms, teaching experience",120000,150000,IL
17,San Francisco,MO1-1330562,At Least 3 Years of experience and knowledge of: - Machine Learning -Data-Mining - Python - Data Mining - Hadoop - Scala - SPARK - SQL,03/04/2017,"Machine Learning, Python, Data Mining, Hadoop, Scala, SPARK, SQL",100000,150000,CA
18,Newport Beach,MM5-1348299,At Least 3 Years of experience and knowledge of: - Machine Learning - Python - Linux - Java - Scala - R - SPARK,03/04/2017,"Machine Learning, Python, Linux, Java, Scala, R, SPARK",NA,NA,CA
19,San Francisco,RS2-1343447,- machine learning development and deployment - advanced Python development - big data framework experience (Hadoop) - text mining and statistical language processing - fin-tech data platform experience - Master's or PhD in Data Science or related field,03/04/2017,"R, Python, SQL, Hadoop, Algorithms, Machine Learning, Data Mining",NA,NA,CA
20,San Francisco,RS2-1343447,- machine learning development and deployment - advanced Python development - big data framework experience (Hadoop) - text mining and statistical language processing - fin-tech data platform experience - Master's or PhD in Data Science or related field,03/04/2017,"R, Python, SQL, Hadoop, Algorithms, Machine Learning, Data Mining",NA,NA,CA
21,Washington,RS2-1334902,"- PhD or Master’s degree in Computer Science, Statistics, or Mathematics - complex analytical problem solving - BI experience - Tableau, Cognos, or MicroStrategy - some development familiarity - Python or Java - large dataset experience - experience with statistical and mathematical software",03/04/2017,"R, Python, SQL, Hadoop, Algorithms, Machine Learning, Data Mining",NA,NA,DC
22,New York City,RP1-SRDATANYNY,"• Proficient in a statistical software (Python or R) • Working knowledge of data visualization techniques. • Data Mining and/or Web Scraping experience. • Able to work through complex digital problems with little oversight. • Good attitude and desire to constantly learn and expand your skills. • Excellent verbal, written, and presentation skills. • Must be comfortable as part of a large team. • Bachelors degree required.",03/04/2017,"Data Analytics, Healthcare Industry, Data Science, SQL or MySQL, SAS, Statistical Software (R/Python/SAS/SPSS/SQL)",NA,NA,NY
23,West Hollywood,AG6-1326863,"Minimum qualifications: PhD degree in a quantitative discipline (e.g., statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering) Relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist / computational biologist / bioinformatician). Experience with statistical software (e.g., R, Julia, MATLAB, pandas) and database languages (e.g., SQL). Preferred qualifications: Analytical engagements outside class work while at school can be included. Applied experience with machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations. Demonstrated skills in selecting the right statistical tools given a data analysis problem.  Demonstrated effective written and verbal communication skills. Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques.",03/04/2017,"Machine Learning, Python, Data Mining, R, PhD preferred",100000,250000,CA
24,Cambridge,BS3-1352687,"BA/BS Degree - 2+ years in Data Analytics / Business Intelligence investment banking, market research or sales analytics - Expert with Excel(Pivot tables, queries, complex logic, etc) - Big Data / Data Analytics",03/04/2017,"Machine Learning, Data Mining, Python, Hadoop",NA,NA,MA
25,Mountain View,BK-1353465,"- MS or PhD in CS, Statistics, Machine Learning or AI - Solid industry experience with Machine Learning - Years of experience with large scale data analysis - Experience with Spark - Experience with programming using one of the following: Python, Java, Scala - Experience with statistical software (R, SAS or equivalent)",03/04/2017,"Machine Learning, SPARK, Java, Python, Scala",150000,200000,CA
26,Lake Mary,JJ5-1347261,At Least 3 Years of experience and knowledge of: - Machine Learning - Python - Hadoop or Map Reduce - Data Mining - R - Bayesian Statistics Our technology stack consists the following : Node.js / NPM Angular.js / Bower MYSQL / PrestoDB / SQL Server Amazon Web Services,03/04/2017,"Machine Learning, Data Mining, Hadoop, Presto, SQL Server, MySQL",NA,NA,FL
27,Washington,RS2-1354516,"- Master’s degree in Computer Science, Statistics, or Mathematics - complex analytical problem solving - BI experience - Tableau, Cognos, or MicroStrategy - some development familiarity - Python or Java - large dataset experience - experience with statistical and mathematical software",03/04/2017,"R, Python, SQL, Hadoop, Algorithms, Machine Learning, Data Mining",NA,NA,DC
28,Palo Alto,AW2-1354853,"Requirements:  Master’s / PhD  in CS or equivalent field. At Least 3 Years of experience and knowledge of most of the: -Machine Learning -Data Mining -Information Retrieval -Knowledge of TCP/IP and networking fundamentals. -Understanding of filesystems, server and kernel architectures. -Foundation in data structures, algorithms, software design. -Knowledge of modern distributed system design and implementation. -Good understanding of networking concepts, equipment, protocols, etc. (firewalls, load balancers, routers, switches, etc.) -Expertise in predictive analytics/statistical modeling/data mining algorithms.  -Must have knowledge/experience in some/all of the following: Multivariate Regression, Logistic Regression, Support Vector Machines, Bagging, Boosting, Decision Trees, Lifetime analysis, common clustering algorithms, Optimization, Stochastic Processes. -Ability to make intelligent approximations of mathematical models in order to make them practical and scalable. Pluses: - Big Data experience: Hadoop, Hive, Cassandra, Storm, or Spark",03/04/2017,"TCP/IP, Machine Learning, Data Mining, Hadoop/ Hive/ Cassandra/ Storm/ or Spark, Information Retrieval, regression, Support Vector Machines, Optimization",110000,160000,CA
29,Seattle,JG4-DataScientistSeattle02222017,- 2+ years Data science (from industry) - Machine Learning Algorithms - Python - Phenomenal written and oral communication,03/04/2017,"Data science (from industry), Machine Learning algorithms, Python, Phenomenal written and oral communication",NA,NA,WA
30,Foster City,BK-1352848,"- Expertise with large scale data and data manipulation, mining and Modeling - Solid experience with Machine Learning - Experience with Hadoop - Strong Python programming experience - Natural Language Processing is a plus - Hands On Team Leadership is a plus",03/04/2017,"Data Manipulation/ Mining/ Modeling, Machine Learning, Natural Language Processing, Large Data Sets, Hadoop, Hands On Team Leadership, Python",160000,200000,CA
31,New York City,RS2-1350183,"- machine learning development and deployment - big data framework experience (Spark, MapReduce) - Bachelor's or Master’s degree in Computer Science, Statistics, or Mathematics",03/04/2017,"R, Python, SQL, Hadoop, Algorithms, Machine Learning, Data Mining",100000,130000,NY
32,Stamford,CS9-1346601,At Least 1 Year of experience and knowledge of: - Python - Python Scientific Stack (NumPy/Pandas/SciPy/etc.) - Basic Statistics and Data Analysis - Open Source Software - Data Ingestion and Processing - Machine Learning - Analytics Experience (Financial Industry a plus) - Agile Framework with Atlassian (OR Similar) - Unclean/Semi- Structured/Unstructured Data - Unsecured Lending Credit Experience Nice to have:  - Github - Masters or Ph.D in Data Science - Data Science Bootcamp,03/04/2017,"Python, Python Scientific Stack (NumPy/Pandas/SciPy/etc.), Basic Statistics and Data Analysis, Open Source Software, Data Ingestion and Processing, Machine Learning, Analytics Experience (Financial Industry a plus), Agile Framework with Atlassian (OR Similar), Unclean/Semi- Structured/Unstructured Data, Unsecured Lending Credit Experience",100000,120000,CT
33,Stamford,CS9-1348813,At Least 1 Year of experience and knowledge of: - Python - Hadoop/ Spark/ H20 - Basic Statistics and Data Analysis - Open Source Software - Data Ingestion and Processing - Machine Learning - Analytics Experience (Financial Industry a plus) - Agile Framework with Atlassian (OR Similar) - Unclean/Semi- Structured/Unstructured Data - Credit Modeling  Nice to have:  - Github - Masters or Ph.D in Data Science - Data Science Bootcamp,03/04/2017,"Python, Basic Statistics and Data Analysis, Open Source Software, Data Ingestion and Processing, Machine Learning, Analytics Experience (Financial Industry a plus), Agile Framework with Atlassian (OR Similar), Unclean/Semi- Structured/Unstructured Data, Credit Modeling, Hadoop/Spark/ H20",100000,120000,CT
34,New York City,MO1-1330559,At Least 3 Years of experience and knowledge of: - Machine Learning -Data-Mining - Python - Data Mining - Hadoop - Scala - SPARK - SQL,03/04/2017,"Machine Learning, Data Mining, Python, Hadoop, Scala, SPARK, SQL",100000,150000,NY
35,Seattle,MY1-1336967,"At Least 3 Years of experience and knowledge of: - Artificial Intelligence, Machine/Deep Learning, Computer Vision - Masters or PHD (Computer Science or Artificial Intelligence or Machine Learning) - Statistical Analysis - Open Source Machine/Deep Learning Frameworks",02/17/2017,"Data Science, Artificial Intelligence, Machine Learning, Masters or PHD (CS/AI/Machine Learning), Statistical Analysis, Open Source Machine/Deep Learning Frameworks",110000,150000,WA
36,Boston,JC6-1335594,At Least 3 Years of experience and knowledge of: - Pandas - Python - Numpy - Jupyter,01/17/2017,"pandas, Python, numpy, Jupyter",90000,175000,MA
37,New York,MM5-1284835,"At Least 1 Year of experience and knowledge of: - Predictive Modeling, and some of the following tools: - Hadoop - SPARK - MongoDB - Ruby - Python - Cyber Security",02/23/2017,"Predictive Modeling, Hadoop, SPARK, mongodb, Ruby, Python, Cyber Security",130000,200000,NY
38,San Francisco,SS5-1290153,"We need creative and PASSIONATE! Data Scientists with at least 3 years of professional experience manipulating both structured and unstructured data , using custom models / established techniques and algos, especially with Machine Learning.   You need to be extremely competent with data visualizations and exploratory techniques of data analysis.  Puzzlemasters, curious tinkerers and creative problem-solver types are encouraged to apply! We also require an advanced degree in mathematics or related field, or comparable experiences in the workplace. We would like to see at least 4 years of a high level work history at reputable companies, working on distributed computing problems with Scala, Spark, or PySpark.",02/23/2017,"Scala, SPARK, Machine Learning, Java, Python, Hadoop",175000,200000,CA
39,New York City,SS5-1290793,"We need creative and PASSIONATE! Data Scientists with at least 3 years of professional experience manipulating both structured and unstructured data , using custom models / established techniques and algos, especially with Machine Learning.   You need to be extremely competent with data visualizations and exploratory techniques of data analysis.  Puzzlemasters, curious tinkerers and creative problem-solver types are encouraged to apply! We also require an advanced degree in mathematics or related field, or comparable experiences in the workplace. We would like to see at least 4 years of a high level work history at reputable companies, working on distributed computing problems with Scala, Spark, or PySpark.",02/23/2017,"Scala, SPARK, Machine Learning, Java, Python, Hadoop",150000,200000,NY
40,Sunnyvale,BF1-1328702,"- Networking/Security  - Experience with big data technologies: Spark, Kafka, Hadoop, ElasticSearch, MongoDB - Python or C/C++ or Scala or Java - Machine learning",02/23/2017,"Python, C/C++, Networking, Security, Apache Spark, Kafka, elasticsearch, mongodb",150000,200000,CA
41,Sunnyvale,BF1-1333550,"- Networking/Security  - Experience with big data technologies: Spark, Kafka, Hadoop, ElasticSearch, MongoDB - Python or C/C++ or Scala or Java - Machine learning",02/23/2017,"Python, C/C++, Networking, Security, Apache Spark, Kafka, elasticsearch, mongodb",150000,200000,CA
42,San Francisco,HB-1333611,"3+ years of industry experience using data science to solve real-world problems Bachelor's degree in a quantitative field (Graduate degree preferred) Self-motivation and an enjoyment of a startup environment Interest or experience in recommendation systems, operations research or consumer behavior Experience building scalable machine learning systems Strong programming skills in Python or R, and fluency in SQL An ability to balance a sense of urgency with shipping high quality and pragmatic solutions Extensive experience building data products working with cross functional teams A strong sense of ownership",02/23/2017,"Data Scientist, Python, R, Recommendation Systems, Machine Learning, SQL",175000,225000,CA
43,Boston,JC6-1344639,At Least 3 Years of experience and knowledge of: - Python - Pandas - Jupyter - Numpy,02/23/2017,"Python, pandas, Jupyter, numpy",110000,160000,MA
44,Boston,BA-1346218,"- PhD in Math or Statistics (or related) - 5 + years of life science, healthcare, or related industry experience - Deep understanding of algorithms, data processing, and visualization. - Strong programming skills in scripting languages such as Python, R, and Perl. - Experience in at least one or two of the following areas: oPredictive analytics oModelling and simulation oBayesian statistics oNetwork analysis - Experience processing and analyzing large multivariate data sets. - Experience with algorithm development, data mining, Natural-Language Processing (NLP), machine learning, and artificial intelligence. - Excellent communication and presentation skills with specific experience in cross functional collaborations. - Demonstrable leadership experience. Nice to haves; - Strong programming skills in programming languages such as C# and Java. - Experience with big data and cloud computing platforms such as AWS or Azure",02/23/2017,"Analytics, Machine Learning, Text-Mining, NLP, Pathway/Network analysis, Modeling & Simulations, Java or C#, Big Data / Cloud computing",100000,150000,MA
45,Boston,JC6-1335000,At Least 3 Years of experience and knowledge of: - Pandas - Python - Numpy - Jupyter,01/04/2017,"pandas, Python, numpy, Jupyter",90000,175000,MA
46,Seattle,AW2-1349775,"Position is located in Seattle Requirements: Bachelors in Computer Science or equivalent- preferred Masters in Computer Science, Math or Physics 5+ years of experience in Business Analytics, Buisiness Intelligence, or Data Science Experience with the following : -Machine Learning - SQL - Python/R/Spark/SAS -Data Mining - BI Reporting tools ( Tableau, OBISS, Business Objects, Cognos, Microstrategy) Pluses:  - online Advertising Experience - Paid Search is ideal!!",02/28/2017,"Machine Learning, Python/R, SQL, BI Reporting, Tableau, OBIEE, Business Objects, Congos, Micro Strategy, SAS",150000,250000,WA
47,San Jose,AW2-1349765,"Position is located in Seattle- THE COMPANY WILL RELOCATE Requirements: Bachelors in Computer Science or equivalent- preferred Masters in Computer Science, Math or Physics 5+ years of experience in Business Analytics, Buisiness Intelligence, or Data Science Experience with the following : -Machine Learning - SQL - Python/R/Spark/SAS -Data Mining - BI Reporting tools ( Tableau, OBISS, Business Objects, Cognos, Microstrategy) Pluses:  - online Advertising Experience - Paid Search is ideal!!",03/01/2017,"Machine Learning, Python/R, SQL, BI Reporting, Tableau, OBIEE, Business Objects, Congos, Micro Strategy, SAS",150000,250000,CA
48,Palo Alto,GM2-1351768,"Must Have Skills - M.S. or Ph.D.  - Machine Learning - Deep Learning - Natural Language Processing Nice to Have Skills - Statistics - Predictive modeling - Operations research - Informatics and tools, e.g., SPSS, SAS, R, Python - Java, C++, JSON, XML - Cloud-based experience with PaaS and IaaS - Agile development environments - Credentials from top schools and/or top employers who are leading in data science (Amazon, Google, Facebook, Microsoft, Apple, Baidu, AirBnb, Uber, etc.).",03/04/2017,"Machine Learning, Deep Learning, NLP, PhD, MS in Computer Science",175000,275000,CA
49,Bethesda,RS2-1354851,"- Master’s degree in Computer Science, Statistics, or Mathematics - complex analytical problem solving - BI experience - Tableau, Cognos, or MicroStrategy - large dataset experience - experience with statistical and mathematical software",03/04/2017,"R, Python, SQL, Hadoop, Algorithms, Machine Learning, Data Mining",NA,NA,MD
50,Seattle,SJ2-SrDS-Seattle,Must haves: Machine Learning Algorithms Python 2+ years INDUSTRY experience of data science  Stellar communication skills Genuine passion/enthusiasm for education Preferred skills/experience: Ideally Masters or PhD in quantitative field Prior teaching experience,03/04/2017,"Data Science, Python, scikit.learn, Virtual Environments, Bayesian Inference, Machine Learning algorithms, Prior teaching experience (not essential)",120000,160000,WA
51,Los Angeles,NNG-1325391,"- Built a data science platform or an experiment framework for tracking and versioning experiments, code, data, and results - Experience with numerical and science-oriented Python, deployment on AWS - Broad familiarity with build/dev tools and languages - Independence and great team skills, resourcefulness - Startup familiarity",03/04/2017,"Python, AWS, Data Science",0,0,CA
52,New York City,MY1-1353328,At Least 1 Year of experience and knowledge of: - Machine Learning with JSON - Artificial Intelligence or NLP - Big Data Technologies,03/04/2017,"JSON, Machine Learning, NLP, Artificial Intelligence, Data Transfer",85000,110000,NY
53,Seattle,JK5-1352703,"More Than 5 Years of experience and knowledge of: - Experience in leading cutting-edge research in statistics, data analytics, machine learning, or natural language processing - Experience in developing innovative approaches and new algorithms to solve difficult business problems - Experience in successfully transitioning research prototypes into production - Expertise in predictive modeling using both supervised and unsupervised learning techniques - Experience in modern deep learning approaches and natural language processing - Advanced proficiency with at least one statistical computing language for data analysis, such as R or Python - Experience distilling and presenting complex concepts to a business audience - Experience working in an agile methodology - Well-published and known within the scientific community",03/04/2017,"Chief Scientist/Solutions Architect, Big Data, R or Python",NA,NA,WA
54,Santa Monica,JK-1353269,"A Master's or equivalent experience PLUS: - Data mining & data pipeline architecture - SQL/HQL/Redshift - Python (and libraries like NumPy/SciPy etc) - R, Matlab or similar tools  - Machine learning/Algorithm development experience - Statistical Analysis  - Data Visualization",03/04/2017,"Data pipeline architecture, Statistical Analysis & Programming, Redshift, SQL/R/MATLAB/Python, Data Mining, Data Analytics & Visualization, Python, Matlab, R",150000,200000,CA
55,San Francisco,DN-1353542-datasciencerelo,"5+ years of professional experience in business analytic, business intelligence (BI) or comparable consumer analyst position Experience managing large and complex data sets (in the order of millions or billions of records) Bachelor's degree in Math, Finance, Statistics, Engineering, or related discipline. Strong SQL and Excel expertise to access and transform data into insights. Preferred Skills MBA or Masters degree in an analytic field is desired. Knowledge and direct experience using BI reporting tools. (Tableau, OBIEE, Business Objects, Cognos, MicroStrategy, etc.) Experience with statistical modeling, dataming and machine learning (R, Python, SAS, etc.). Experience in Online Advertising Experience is preferred. (experience in Paid Search is ideal)",03/04/2017,"Algorithm Development, BI Reporting Tools, Python, Statistical Modeling, Online advertising",160000,250000,CA
56,Seattle,RM2-1352966,At Least 3 Years of experience and knowledge of: - Machine Learning - Data Analysis - Big Data - Data Visualization - D3 - Predictive Modeling - Predictive Analytics,03/04/2017,"Machine Learning, Data Analysis, Big Data, Data Visualization, D3, Predictive Modeling, Predictive Analytics",NA,NA,WA
57,Santa Clara,RS2-1349653,- machine learning development and deployment - advanced Python development - big data framework experience (Hadoop) - text mining and statistical language processing - fin-tech data platform experience - Master's or PhD in Data Science or related field,03/04/2017,"R, Python, SQL, Hadoop, Algorithms, Machine Learning, Data Mining",NA,NA,CA
58,Redwood City,BK-1354895,"- Expertise with large scale data manipulation, mining and Modeling - Solid experience with Machine Learning - Solid experience with statistical analysis - Experience with Hadoop and Spark - Strong Python and R programming experience - Experience working on mission critical systems - AWS experience",03/04/2017,"Machine Learning, Statistical Modeling, Data Analytics, Python, Hadoop, AWS, SPARK, Mission Critical Systems",150000,200000,CA
59,Phoenix,AW2-1349784,"Position is located in Seattle- THE COMPANY WILL RELOCATE Requirements: Bachelors in Computer Science or equivalent- preferred Masters in Computer Science, Math or Physics 5+ years of experience in Business Analytics, Buisiness Intelligence, or Data Science Experience with the following : -Machine Learning - SQL - Python/R/Spark/SAS -Data Mining - BI Reporting tools ( Tableau, OBISS, Business Objects, Cognos, Microstrategy) Pluses:  - online Advertising Experience - Paid Search is ideal!!",03/04/2017,"Machine Learning, Python/R, SQL, BI Reporting, Tableau, OBIEE, Business Objects, Congos, Micro Strategy, SAS",150000,250000,AZ
60,New York City,DN-1353555NYCorrelo,"5+ years of professional experience in business analytic, business intelligence (BI) or comparable consumer analyst position Experience managing large and complex data sets (in the order of millions or billions of records) Bachelor's degree in Math, Finance, Statistics, Engineering, or related discipline. Strong SQL and Excel expertise to access and transform data into insights. Preferred Skills MBA or Masters degree in an analytic field is desired. Knowledge and direct experience using BI reporting tools. (Tableau, OBIEE, Business Objects, Cognos, MicroStrategy, etc.) Experience with statistical modeling, dataming and machine learning (R, Python, SAS, etc.). Experience in Online Advertising Experience is preferred. (experience in Paid Search is ideal)",03/04/2017,"Algorithm Development, BI Reporting Tools, Python, Statistical Modeling, Online advertising",160000,250000,NY
61,San Francisco,RS2-1354485,- machine learning development and deployment - advanced Python development - big data framework experience (Hadoop) - text mining and statistical language processing - fin-tech data platform experience - Master's or PhD in Data Science or related field,03/04/2017,"R, Python, SQL, Hadoop, Algorithms, Machine Learning, Data Mining",NA,NA,CA
62,Seattle,JG4-SrDS-Seattle2162017,- 2+ years Data science (from industry) - Machine Learning Algorithms - Python - Phenomenal written and oral communication,03/04/2017,"Data science (from industry), Machine Learning algorithms, Python, Phenomenal written and oral communication",NA,NA,WA
63,Saint Louis,DH1-1353128,"- PhD in stats, physics, engineering, Math, etc. ** - Machine Learning ** - Python, R, or other scripting language - AWS or other cloud platforms is a plus - MATLAB or SAS",03/04/2017,"Machine Learning, PhD, Field Analysis, Python/R, MATLAB/SAS",110000,150000,MO
64,Newport Beach,MM5-1352380,At Least 3 Years of experience and knowledge of: - Machine Learning - Python - Linux - Java - Scala - R - SPARK,03/04/2017,"Machine Learning, Python, Linux, Java, Scala, R, SPARK",NA,NA,CA
65,Columbus,PS-1353262,"- 3+ years of Data Science experience  - Extensive R and Python experience -  Previous experience building predictive models - Demonstrated skill with data mining, data munging, coping with missing / corrupt / unstructured data - Desirable: AWS, Hadoop",03/04/2017,"R, Python, SQL, AWS, Hadoop, Predictive Modeling",90000,140000,OH
66,Denver,DN-1353554,"5+ years of professional experience in business analytic, business intelligence (BI) or comparable consumer analyst position Experience managing large and complex data sets (in the order of millions or billions of records) Bachelor's degree in Math, Finance, Statistics, Engineering, or related discipline. Strong SQL and Excel expertise to access and transform data into insights. Preferred Skills MBA or Masters degree in an analytic field is desired. Knowledge and direct experience using BI reporting tools. (Tableau, OBIEE, Business Objects, Cognos, MicroStrategy, etc.) Experience with statistical modeling, dataming and machine learning (R, Python, SAS, etc.). Experience in Online Advertising Experience is preferred. (experience in Paid Search is ideal)",03/04/2017,"Algorithm Development, BI Reporting Tools, Python, Statistical Modeling, Online advertising",160000,250000,CO
67,Philadelphia,SL6-1341682,"At Least 4 Years of experience and knowledge of: - A Master's Degree or PhD in Computer Science, Bioinformatics, Computational Biology or a related field preferred. - Expert knowledge in R, Python or shell scripting and is familiar with UNIX environments. - Excellence in Data mining and empirical modeling (Machine Learninga big plus) -Programming (R, Matlab, Python, Java) -Web application deployment (Apache, php, tomcat, Ruby/Rails, Grails) -Database technology (MySQL) -R/Bioconductor experience -Experience in Bioinformatics or Computational Biology (highly preferred)",03/04/2017,"R, Bioinformatics, Python/Perl, Java",70000,90000,PA
68,San Mateo,AW2-1342933,Requirements: Bachelors in Computer Science Preferred- Masters or PhD-  At Least 5 Years of experience and knowledge of Data Science and Machine Learning 2+ years experience building scalable software solutions that employ machine learning algorithms and data mining libraries Some experience with the following: - Java/ Scala - Python Pluses:  -Healthcare Domain expertise - NLP  - Experience building recommendation systems - Experience developing Data Solutions in Ad Tech or Web Search,03/04/2017,"Machine Learning, Java, Scala, SPARK, Python, Data Mining",130000,175000,CA
